Bill Amount,Who Tipped,Tip Amount,Ethnicity,Day Dined,Meal Period,How Dined,Overall Satisfaction,Will Return,Would Recommend,Greeted Friendly,Meal Quality,Overall Service,"Music, Lighting, Temp.",Cleanliness,Food Delivery Speed,Bev. Service Speed,Offered Appetizer
$24.18,Me,$5.00,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$51.02,Me,$6.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,No
$23.49,Me,$0.06,White,Tue,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,No
$72.86,Me,$15.00,White,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$28.24,Me,$6.00,Asian,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$30.50,Me,$4.00,Hispanic,Sat,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Very Good,Very Good,Very Good,No
$30.80,Me,$4.20,Other,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$50.50,Me,$9.00,Hispanic,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$29.47,Me,$8.00,White,Mon,Dinner,Dine In,Good,Definitely Will,Definitely Would,Yes,Excellent,Good,Excellent,Excellent,Very Good,Fair,No
$73.66,Me,$0.10,Other,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Good,No
$28.64,Me,$4.00,Asian,Sun,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Very Good,Excellent,Excellent,No
$32.00,Me,$5.00,White,Tue,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Very Good,Excellent,Very Good,Don't Remember
$33.33,Me,$6.67,Asian,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$54.36,Me,$12.00,Black,Sat,Dinner,Dine In,Very Good,Probably Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Very Good,Very Good,Very Good,Don't Remember
$46.96,Me,$5.00,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$39.14,Me,$8.00,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$57.35,Me,$6.65,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$94.72,Me,$20.00,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Don't Remember
$29.79,Me,$0.06,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$36.57,Me,$7.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$55.32,Me,$10.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Don't Remember
$27.94,Me,$7.06,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$38.90,Me,$5.00,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$56.48,Me,$15.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Don't Remember
$23.32,Me,$8.00,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$29.73,Me,$6.00,Other,Wed,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Excellent,Very Good,Good,Excellent,Excellent,Very Good,No
$77.09,Me,$6.00,White,Sat,Dinner,Dine In,Fair,Probably Will,Probably Would,Yes,Very Good,Good,Excellent,Excellent,Very Good,Excellent,Yes
$26.01,Me,$5.00,White,Tue,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$76.06,Me,$23.94,Other,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Very Good,No
$16.85,Me,$3.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$49.55,Me,$0.09,Asian,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$22.04,Me,$3.50,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$13.85,Me,$2.00,White,Wed,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$37.73,Me,$7.27,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$23.07,Me,$5.00,White,Sun,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Very Good,Yes
$9.09,Me,$3.00,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$11.87,Me,$2.00,White,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$52.79,Me,$8.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$12.16,Me,$2.00,White,Thu,Lunch,Dine In,Very Good,Definitely Will,Probably Would,Yes,Good,Excellent,Good,Very Good,Excellent,Excellent,Don't Remember
$28.81,Me,$5.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$22.86,Me,$4.10,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$30.81,Me,$4.50,White,Wed,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Excellent,Good,Excellent,Excellent,Fair,Very Good,No
$21.00,Me,$5.00,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$24.64,Me,$5.00,Hispanic,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$10.73,Me,$2.00,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Very Good,Excellent,No
$29.47,Me,$5.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Excellent,Excellent,Very Good,Don't Remember
$17.89,Me,$5.00,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Probably Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Very Good,Yes
$29.27,Me,$4.00,White,Wed,Dinner,Dine In,Good,Definitely Will,Definitely Would,Yes,Good,Good,Excellent,Very Good,Very Good,Very Good,No
$49.74,Me,$10.00,White,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Excellent,Very Good,Very Good,Yes
$42.66,Me,$5.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$28.42,Me,$2.00,Hispanic,Sat,Dinner,Dine In,Excellent,Probably Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Good,Yes
$34.87,Me,$5.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$27.94,Me,$4.00,Asian,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$54.16,Me,$10.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$28.63,Me,$5.00,White,Wed,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Very Good,Excellent,Very Good,Excellent,Excellent,Excellent,No
$49.58,Me,$6.47,White,Fri,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,No,Excellent,Very Good,Very Good,Excellent,Very Good,Very Good,Yes
$20.83,Me,$4.00,White,Thu,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,No
$48.00,Someone else,,Hispanic,Sat,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$44.59,Me,$7.00,White,Thu,Dinner,Dine In,Very Good,Probably Will,Probably Would,No,Excellent,Very Good,Very Good,Excellent,Very Good,Excellent,No
$33.75,Me,$8.00,Hispanic,Wed,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Very Good,Excellent,Very Good,Yes
$19.67,Me,$0.05,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$49.72,Me,$5.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$61.90,Me,$12.38,Hispanic,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$50.00,Me,$12.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$23.00,Me,$5.00,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$34.32,Me,$10.00,White,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$43.86,Me,$4.00,White,Tue,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Good,Very Good,Very Good,Excellent,Excellent,Excellent,No
$300.00,Me,$0.42,Prefer not to answer,Sat,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Good,Very Good,Very Good,Very Good,Good,No
$30.22,Me,$6.00,White,Thu,Dinner,Dine In,Good,Might or Might Not,Probably Would,Yes,Excellent,Good,Poor,Good,Poor,Very Good,No
$27.82,Me,$6.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$123.76,Me,$25.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$50.00,Me,$9.43,White,Fri,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Good,Excellent,Very Good,Very Good,Very Good,Very Good,Yes
$29.89,Me,$5.00,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$25.86,Me,$4.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Excellent,Excellent,No
$18.06,Me,$6.00,Hispanic,Thu,Lunch,Dine In,Very Good,Definitely Will,Might or Might Not,Yes,Very Good,Very Good,Fair,Excellent,Very Good,Good,No
$59.65,Me,$9.35,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Might or Might Not,Yes,Excellent,Very Good,Very Good,Excellent,Excellent,Excellent,Yes
$43.01,Me,$7.00,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$29.12,Me,$5.88,Prefer not to answer,Thu,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$77.59,Me,$10.00,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$19.74,Me,$6.00,White,Fri,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Very Good,Excellent,Excellent,Very Good,Excellent,Excellent,Yes
$15.20,Me,$4.00,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$50.86,Me,$5.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$45.68,Me,$0.10,Prefer not to answer,Sun,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Don't Remember
$17.46,Me,$4.00,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$42.62,Me,$8.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$78.31,Me,$14.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$56.03,Me,$7.00,White,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Excellent,Excellent,Very Good,Very Good,No
$29.99,Me,$6.00,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Good,Very Good,Excellent,No
$194.82,Me,$24.00,White,Sat,Dinner,Dine In,Excellent,Probably Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Excellent,Excellent,Excellent,No
$46.22,Me,$8.00,White,Sun,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Excellent,Very Good,Good,Very Good,Very Good,Very Good,Don't Remember
$89.89,Me,$16.11,Hispanic,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$32.63,Me,$0.04,White,Sun,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Very Good,Very Good,Yes
$38.75,Me,$10.00,White,Thu,Lunch,Dine In,Excellent,Probably Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Don't Remember
$87.84,Me,$20.00,Hispanic,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$45.10,Me,$6.00,Hispanic,Sat,Dinner,Dine In,Good,Probably Not,Probably Would Not,Yes,Good,Very Good,Good,Very Good,Very Good,Very Good,Don't Remember
$48.34,Me,$9.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$48.45,Me,$6.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Probably Would,Yes,Excellent,Good,Good,Good,Very Good,Very Good,Yes
$40.35,Me,$6.75,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$25.87,Me,$4.00,White,Fri,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Very Good,Good,Very Good,Excellent,Excellent,No
$45.81,Me,$7.19,White,Fri,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$94.66,Me,$20.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$27.45,Me,$5.00,White,Sat,Dinner,Dine In,Fair,Might or Might Not,Probably Would Not,Yes,Good,Fair,Very Good,Good,Good,Very Good,No
$30.71,Me,$5.00,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$29.39,Me,$3.00,White,Sat,Dinner,Dine In,Fair,Probably Will,Probably Would,No,Very Good,Fair,Good,Good,Good,Good,No
$23.92,Me,$0.05,White,Mon,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Very Good,Excellent,No
$19.10,Me,$7.00,White,Sat,Lunch,Dine In,Good,Definitely Will,Probably Would,Yes,Excellent,Good,Very Good,Excellent,Fair,Good,Yes
$67.92,Me,$10.00,White,Sat,Dinner,Dine In,Poor,Might or Might Not,Might or Might Not,No,Excellent,Excellent,Good,Fair,Very Good,Poor,No
$30.92,Me,$7.00,Hispanic,Wed,Lunch,Dine In,Very Good,Definitely Will,Might or Might Not,Yes,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$53.32,Me,$9.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Don't Remember
$38.55,Me,$7.00,White,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Excellent,Excellent,Very Good,Excellent,No
$35.50,Me,$6.50,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$30.00,Me,$6.00,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$17.19,Me,$2.50,Hispanic,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$123.73,Me,$14.00,White,Tue,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Excellent,Very Good,Very Good,Very Good,Very Good,Don't Remember
$39.79,Me,$8.00,White,Sun,Lunch,Dine In,Excellent,Probably Will,Probably Would,Yes,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Yes
$48.73,Me,$0.10,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Yes
$24.36,Me,$5.00,White,Mon,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Very Good,Very Good,Good,Very Good,Don't Remember
$26.32,Me,$8.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$78.00,Me,$11.00,Black,Sun,Dinner,Dine In,Good,Might or Might Not,Might or Might Not,Yes,Good,Good,Very Good,Very Good,Fair,Good,No
$22.68,Me,$5.32,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$75.05,Me,$10.00,Asian,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Don't Remember
$242.67,Me,$31.00,White,Sun,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Very Good,Excellent,Excellent,Yes
$48.46,Me,$8.00,White,Sun,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Excellent,Excellent,Excellent,No
$9.82,Me,$2.18,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$87.54,Me,$5.00,Prefer not to answer,Fri,Dinner,Dine In,Good,Probably Will,Probably Would,No,Very Good,Fair,Very Good,Very Good,Good,Fair,Yes
$35.79,Me,$4.50,White,Fri,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Good,Excellent,Very Good,Very Good,Very Good,Excellent,No
$30.30,Me,$5.00,White,Sat,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Very Good,Excellent,Good,Very Good,Very Good,Excellent,Don't Remember
$117.60,Me,$23.40,White,Thu,Lunch,Dine In,Very Good,Probably Will,Probably Would,Yes,Excellent,Excellent,Very Good,Excellent,Very Good,Very Good,Yes
$24.88,Me,$5.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Very Good,Very Good,Very Good,Don't Remember
$10.26,Me,$3.00,White,Fri,Dinner,Dine In,Good,Might or Might Not,Might or Might Not,Yes,Good,Excellent,Very Good,Very Good,Excellent,Excellent,No
$19.87,Me,$4.00,Prefer not to answer,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$33.98,Me,$8.02,White,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Excellent,Very Good,Very Good,Very Good,Excellent,Yes
$53.49,Me,$15.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$47.65,Me,$7.35,White,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$61.25,Me,$8.00,Hispanic,Sat,Dinner,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Very Good,Very Good,Excellent,Excellent,Excellent,Excellent,No
$27.98,Me,$5.60,Asian,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$17.60,Me,$2.00,White,Mon,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$7.57,Me,$1.50,White,Wed,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$35.10,Me,$6.90,White,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Very Good,Very Good,Excellent,No
$39.19,Me,$7.00,White,Sun,Dinner,Dine In,Very Good,Probably Will,Probably Would,Yes,Fair,Excellent,Good,Very Good,Very Good,Excellent,Yes
$12.18,Me,$3.00,Hispanic,Mon,Lunch,Dine In,Very Good,Definitely Will,Might or Might Not,Yes,Good,Very Good,Very Good,Very Good,Very Good,Very Good,No
$68.84,Me,$9.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Good,Very Good,Very Good,Very Good,Yes
$43.44,Me,$0.04,Hispanic,Sun,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$25.00,Me,$6.22,White,Mon,Dinner,Dine In,Very Good,Definitely Will,Probably Would,Yes,Excellent,Good,Excellent,Excellent,Good,Very Good,No
$11.61,Me,$3.31,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$32.78,Me,$5.00,Hispanic,Sat,Lunch,Dine In,Good,Probably Will,Probably Would,No,Very Good,Good,Good,Very Good,Good,Good,No
$33.55,Me,$8.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Excellent,Excellent,Yes
$60.73,Me,$9.27,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Don't Remember
